Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-01-2020,TCS,2169.25,2174,2187.8,2152,2183.8,2183.75,2169.48,1743024,3.78145E+14,79762,906541,0.5201
29-01-2020,TCS,2183.75,2185,,2150,2154,2154.6,2164.12,2306761,4.99212E+14,88479,1307797,0.5669
30-01-2020,TCS,2154.6,2160,2165,2125,2134.65,2137.85,2140.26,2098567,4.49149E+14,88883,,0.5034
31-01-2020,TCS,2137.85,2139.4,2144.35,2071.6,2082.4,2079.05,2098.15,3287223,6.89709E+14,131558,2194449,0.6676
01-02-2020,TCS,2079.05,2079.5,2180.7,2063.6,2167.5,2164.85,,3319716,,112061,,0.5419
03-02-2020,TCS,2164.85,2152,2194.7,2093.2,2110,2102.5,2136.37,4728073,1.01009E+15,194574,2519349,0.5328
,TCS,2102.5,2129,2136.7,2086.6,2111.95,2107.75,2111.28,3509339,7.40921E+14,130941,,0.4472
,TCS,2107.75,,2156.7,2104.3,2147.5,2146.55,2136.16,2439322,5.21079E+14,132082,1373557,0.5631
06-02-2020,TCS,2146.55,2145,2174.2,2115.5,2129.45,2128.35,2146.02,2640065,5.66563E+14,97158,1284341,0.4865
,TCS,2128.35,2139,2151,,2138,2136.55,,2083442,4.44067E+14,,,
10-02-2020,TCS,2136.55,2140.9,2167,,2153.1,,2149.9,2383032,5.12327E+14,,,0.5449
11-02-2020,TCS,2161.95,2163,2174.8,2147.6,2152.7,2153.4,2157.68,1335820,,,606633,0.4541
12-02-2020,TCS,2153.4,2151.1,2185,2150,,2170.75,2173.56,1620407,3.52206E+14,98406,791500,0.4885
13-02-2020,TCS,2170.75,2172.95,2197,2171,2191,2191.95,2186.71,1645948,3.59921E+14,73525,886163,0.5384
14-02-2020,TCS,,2188,,2171,2183,2184.2,2190.86,1500115,3.28655E+14,117257,662963,0.4419
17-02-2020,TCS,2184.2,2196.95,2217,,2202.05,,2204.55,1774724,3.91246E+14,81968,868712,0.4895
18-02-2020,TCS,2203.25,2199.95,2221,2186.05,2215,2215.75,,2486223,5.48979E+14,98311,1511442,0.6079
19-02-2020,TCS,2215.75,2215.75,,2190.5,2194.1,,2209.81,1760463,3.89029E+14,77338,1061209,0.6028
20-02-2020,TCS,2196.35,2204.5,,2151.25,,2156.8,2189.19,2317278,5.07297E+14,121407,1447215,0.6245
24-02-2020,TCS,2156.8,2156,2178.95,2106.7,2112,2115.35,2152.36,,6.65698E+14,120347,,0.605
25-02-2020,TCS,2115.35,2115.5,2176.65,2111,2163,2156.15,2148.89,2674567,5.74736E+14,116295,1382198,0.5168
26-02-2020,TCS,,2154,2163.9,2112.95,2122,2123.6,2137.17,2686842,5.74225E+14,155115,1586103,0.5903
27-02-2020,TCS,2123.6,2119.95,2119.95,2086.2,2097,2105.5,2101.98,2349001,4.93755E+14,112336,1244106,0.5296
28-02-2020,TCS,2105.5,2068,,1990,2010,2000.15,,,,229475,2304792,0.5362
